sequence,frames,auc_update,auc_pure,success50_update,success50_pure,precision20_update,precision20_pure,fps_update,fps_pure,delta_auc
Basketball,725,0.5454,0.4911,0.5283,0.6345,0.9903,0.8676,14.4384,15.7789,0.0543
Biker,142,0.2815,0.2717,0.2535,0.2535,0.6127,0.4648,31.6052,30.4501,0.0098
Bird1,408,0.1246,0.0710,0.0662,0.0441,0.2181,0.0882,35.2850,128.1974,0.0536
Bird2,99,0.6172,0.6116,0.5859,0.5859,0.5758,0.5859,19.7646,16.2493,0.0056
BlurBody,334,0.6923,0.6375,0.9940,0.8443,0.9970,0.9701,12.0129,8.0211,0.0548
BlurCar1,742,0.8104,0.8574,0.9987,0.9987,0.9960,0.9960,15.9279,14.7125,-0.0470
BlurCar2,585,0.7232,0.8224,0.9983,0.9846,1.0000,0.9932,23.1126,18.7441,-0.0992
BlurCar3,357,0.8550,0.8452,0.9972,0.9972,0.9972,0.9972,38.9344,25.7140,0.0098
BlurCar4,380,0.8447,0.7259,1.0000,0.9947,1.0000,1.0000,12.4627,9.0931,0.1188
BlurFace,493,0.7820,0.7718,1.0000,1.0000,1.0000,1.0000,15.5975,13.6548,0.0102
BlurOwl,631,0.8027,0.7763,0.9984,0.9921,0.9952,0.9921,20.7556,18.4627,0.0264
Board,698,0.5752,0.5872,0.7020,0.7034,0.7020,0.7034,34.1733,18.0152,-0.0120
Bolt,350,0.4379,0.6469,0.0657,0.9914,1.0000,1.0000,18.8181,19.1757,-0.2090
Bolt2,293,0.0352,0.0352,0.0102,0.0102,0.0171,0.0171,12.5934,28.1735,-0.0000
Box,1161,0.3184,0.3247,0.3867,0.3936,0.3953,0.3953,20.7003,15.7902,-0.0063
Boy,602,0.8042,0.7946,0.9967,0.9734,1.0000,1.0000,65.9970,39.1530,0.0096
Car1,1020,0.3389,0.4040,0.2225,0.2225,0.7353,1.0000,25.2151,25.0264,-0.0651
Car2,913,0.7029,0.4062,0.9989,0.4206,1.0000,0.4206,29.3577,25.9541,0.2967
Car24,3059,0.4344,0.4339,0.1726,0.1726,1.0000,1.0000,55.9808,43.6434,0.0005
Car4,659,0.4072,0.8237,0.2595,1.0000,0.9712,1.0000,65.3626,55.1548,-0.4165
CarDark,393,0.8785,0.8889,1.0000,1.0000,1.0000,1.0000,22.6252,20.0367,-0.0104
CarScale,252,0.5606,0.6668,0.6429,0.7103,0.7183,0.7302,35.3260,32.1251,-0.1062
ClifBar,472,0.4787,0.4540,0.4725,0.3919,0.8072,0.8093,36.8565,42.1343,0.0247
Coke,291,0.4987,0.5350,0.4261,0.6220,0.9141,0.9175,25.6481,22.8003,-0.0363
Couple,140,0.6455,0.6520,0.7786,0.7857,1.0000,1.0000,34.6607,31.7035,-0.0065
Coupon,327,0.7869,0.9162,1.0000,1.0000,1.0000,1.0000,23.6816,21.3122,-0.1293
Crossing,120,0.7148,0.7152,0.9583,0.9667,1.0000,1.0000,39.4819,37.2357,-0.0004
Crowds,347,0.7251,0.6297,0.9308,0.9827,1.0000,1.0000,32.3935,31.9730,0.0954
Dancer,225,0.7504,0.7161,1.0000,1.0000,1.0000,1.0000,27.1797,24.5583,0.0343
Dancer2,150,0.7452,0.7170,1.0000,1.0000,1.0000,1.0000,28.0730,20.3233,0.0282
David,471,0.2507,0.2495,0.1338,0.1104,0.2463,0.2484,28.7101,21.9689,0.0012
David2,537,0.7624,0.7392,1.0000,0.8883,1.0000,1.0000,58.2790,58.4827,0.0232
David3,252,0.7525,0.7779,1.0000,1.0000,1.0000,1.0000,26.3169,21.3937,-0.0254
Deer,71,0.7831,0.8085,1.0000,1.0000,1.0000,1.0000,27.5574,19.0593,-0.0254
Diving,215,0.2923,0.2667,0.1860,0.1860,0.3814,0.3907,28.3405,34.6846,0.0256
Dog,127,0.5543,0.4850,0.6929,0.3858,1.0000,1.0000,27.5562,23.6396,0.0693
Dog1,1350,0.6940,0.7019,0.9896,0.9993,0.9948,1.0000,41.0760,40.3674,-0.0079
Doll,3872,0.6022,0.7413,0.7712,0.9930,0.9261,0.9876,38.3107,29.9605,-0.1391
DragonBaby,113,0.3451,0.1332,0.3097,0.1239,0.4159,0.1327,78.0103,154.4501,0.2119
Dudek,1145,0.7258,0.7834,0.9624,0.9904,0.7162,0.8262,87.2931,33.8906,-0.0576
FaceOcc1,892,0.5801,0.5716,0.7612,0.6906,0.7713,0.7074,21.5685,13.2182,0.0085
FaceOcc2,812,0.7650,0.7096,0.9926,0.9138,0.9975,1.0000,28.0396,23.2237,0.0554
Fish,476,0.8097,0.7827,1.0000,1.0000,1.0000,1.0000,31.5447,25.9358,0.0270
FleetFace,707,0.5684,0.5901,0.5983,0.6322,0.5700,0.5601,33.7895,23.2908,-0.0217
Football,362,0.7050,0.5855,0.9309,0.7845,1.0000,0.7928,29.3793,34.6734,0.1195
Football1,74,0.8010,0.7899,1.0000,1.0000,1.0000,1.0000,33.6890,33.3890,0.0111
Freeman1,326,0.2377,0.2209,0.1656,0.1534,0.4080,0.3804,32.0370,37.2570,0.0168
Freeman3,460,0.3521,0.3536,0.3304,0.3304,1.0000,0.9043,34.3439,34.1201,-0.0015
Freeman4,283,0.1595,0.1552,0.1625,0.1590,0.3463,0.2049,19.2159,74.8015,0.0043
Girl,500,0.5544,0.6610,0.6740,0.8880,0.8700,1.0000,27.1837,27.9667,-0.1067
Girl2,1500,0.3319,0.0790,0.1733,0.0693,0.6547,0.0700,28.6561,20.0381,0.2529
Gym,767,0.2610,0.2955,0.0156,0.0248,0.9661,0.9700,38.0183,28.2151,-0.0345
Human2,1128,0.5816,0.3525,0.6463,0.2988,0.2784,0.4858,24.0549,19.7037,0.2291
Human3,1698,0.0416,0.2471,0.0147,0.3251,0.0318,0.3651,32.8740,24.9708,-0.2055
Human4_2,667,0.5751,0.5712,0.8321,0.8186,0.8621,0.8636,50.0591,39.1329,0.0039
Human5,713,0.3760,0.3767,0.3450,0.3450,0.9958,0.9944,63.1200,44.4889,-0.0007
Human6,792,0.2776,0.2834,0.2260,0.2260,0.6629,0.8106,29.0406,29.6463,-0.0058
Human7,250,0.7217,0.7665,0.9920,0.9960,1.0000,1.0000,30.2174,23.1589,-0.0448
Human8,128,0.6725,0.5318,1.0000,0.3828,1.0000,1.0000,30.3782,24.0849,0.1407
Human9,305,0.1710,0.4218,0.0984,0.2852,0.3148,1.0000,26.1466,23.4606,-0.2508
Ironman,166,0.1227,0.1041,0.1084,0.0904,0.1386,0.1145,26.7164,30.9431,0.0186
Jogging,307,0.6042,0.5958,0.9186,0.9414,0.9772,0.9772,27.3066,20.9920,0.0084
Jump,122,0.0752,0.0746,0.0574,0.0574,0.0574,0.0574,26.6918,18.0221,0.0006
Jumping,313,0.7311,0.6706,1.0000,0.9872,1.0000,0.9904,47.9390,48.8874,0.0605
KiteSurf,84,0.3033,0.3348,0.3333,0.3810,0.3333,0.4048,16.0722,18.5154,-0.0315
Lemming,1336,0.2293,0.4575,0.2463,0.3593,0.2747,0.7972,16.7014,14.7718,-0.2282
Liquor,1741,0.6813,0.3379,0.7720,0.4268,0.8466,0.4285,39.3031,27.1327,0.3434
Man,134,0.8519,0.8509,1.0000,1.0000,1.0000,1.0000,125.2322,62.5689,0.0010
Matrix,100,0.0358,0.0353,0.0100,0.0100,0.0100,0.0100,20.6261,20.8181,0.0005
